Epoch ,TrainLoss   ,ValidationLoss ,TrainAccuracy ,ValidationAccuracy
  139 ,2.865689278 ,   0.063841991 ,  0.021567325 ,       0.021540151
  140 ,0.332125187 ,   0.898668885 ,  0.023885793 ,       0.024052203
  141 ,1.750763059 ,   0.171480715 ,  0.021450626 ,       0.021682288
  142 ,5.45917511  ,   2.388637543 ,  0.02007705  ,       0.021314222
  143 ,0.044980083 ,   1.576713562 ,  0.023959649 ,       0.02209427
  144 ,0.081006415 ,   0.044265464 ,  0.019837219 ,       0.021756243
  145 ,1.333434939 ,   1.495483875 ,  0.018166984 ,       0.018201043
  146 ,0.113038316 ,   0.169297025 ,  0.024714152 ,       0.027100587
  147 ,0.079892412 ,   0.076683439 ,  0.019849154 ,       0.020268876
  148 ,2.736269474 ,   0.304738581 ,  0.019261317 ,       0.020257534
  149 ,0.352482438 ,   0.831223071 ,  0.018226127 ,       0.020913294
  150 ,0.04395701  ,   0.218660414 ,  0.019414847 ,       0.020265348
  151 ,0.091948435 ,   0.041003086 ,  0.018533115 ,       0.019666086
  152 ,1.573686838 ,   0.215966597 ,  0.021932802 ,       0.022765155
  153 ,0.193880498 ,   0.349339008 ,  0.021359475 ,       0.021653114
  154 ,2.710273027 ,   2.622854233 ,  0.02043366  ,       0.021233629
  155 ,0.978104234 ,   0.114357606 ,  0.018870989 ,       0.021917403
  156 ,1.421724677 ,   3.364060879 ,  0.019281963 ,       0.020522055
  157 ,0.03929539  ,   0.102014795 ,  0.021818587 ,       0.02582439
  158 ,0.271885931 ,   3.366674423 ,  0.021822408 ,       0.020358075
  159 ,0.793609321 ,   4.038210869 ,  0.02145947  ,       0.023304615
  160 ,4.231243134 ,   0.060091801 ,  0.017132032 ,       0.020342066
  161 ,0.054874986 ,   0.038589895 ,  0.022548905 ,       0.022254734
  162 ,0.039128218 ,   1.647061467 ,  0.01657839  ,       0.015039056
  163 ,0.592660189 ,   3.259396553 ,  0.020502114 ,       0.022122987
  164 ,0.896808028 ,   3.029390335 ,  0.018767475 ,       0.02222985
  165 ,0.061050609 ,   0.03509767  ,  0.024852139 ,       0.019565948
  166 ,0.061522976 ,   1.100145578 ,  0.021407015 ,       0.023807816
  167 ,0.994327426 ,   1.885399342 ,  0.018863972 ,       0.015992807
  168 ,0.038323667 ,   0.055824079 ,  0.019731546 ,       0.020065813
  169 ,0.094151631 ,   6.149799347 ,  0.024590268 ,       0.022677248
  170 ,1.069474697 ,   0.048553295 ,  0.020937147 ,       0.022996036
  171 ,0.039958011 ,   0.512981415 ,  0.013804123 ,       0.012659577
  172 ,2.61848259  ,   0.918726563 ,  0.021598364 ,       0.021374817
  173 ,0.057123158 ,   0.067959368 ,  0.021460151 ,       0.022548017
  174 ,0.037191451 ,   1.77788806  ,  0.020083114 ,       0.020750825
  175 ,0.107156873 ,   0.044529341 ,  0.018963404 ,       0.022827722
  176 ,1.948314667 ,   0.044287965 ,  0.019198865 ,       0.016248181
  177 ,0.090829149 ,   0.035083681 ,  0.018966115 ,       0.020046338
  178 ,2.628443241 ,   1.476530552 ,  0.01993552  ,       0.017950945
  179 ,0.035303056 ,   0.775898457 ,  0.022955372 ,       0.023393627
  180 ,2.507466793 ,   1.217820883 ,  0.020501341 ,       0.021179687
  181 ,0.805888176 ,   1.975114584 ,  0.023425678 ,       0.022690333
  182 ,0.770569682 ,   0.058301006 ,  0.017519162 ,       0.022077699
  183 ,0.812361479 ,   1.229645967 ,  0.02345116  ,       0.025136466
  184 ,0.055863254 ,   0.056293823 ,  0.019155896 ,       0.02053845
  185 ,0.063858397 ,   2.248089552 ,  0.021786228 ,       0.021286302
  186 ,1.809129119 ,   3.570197821 ,  0.024588894 ,       0.024870642
  187 ,1.13270998  ,   2.102295876 ,  0.019710796 ,       0.019069196
  188 ,0.031522438 ,   0.735663652 ,  0.019361315 ,       0.021001485
  189 ,1.517207026 ,   0.030734096 ,  0.019865966 ,       0.020292428
  190 ,2.434699297 ,   0.968076408 ,  0.013890033 ,       0.014144367
  191 ,0.661658287 ,   1.909106731 ,  0.017063786 ,       0.020128554
  192 ,0.059125382 ,   0.028058257 ,  0.020485467 ,       0.021910275
  193 ,1.005529881 ,   0.029094741 ,  0.023504612 ,       0.025656571
  194 ,1.97379756  ,   0.077837601 ,  0.01685903  ,       0.019027193
  195 ,0.027946906 ,   0.032397337 ,  0.019483821 ,       0.02090174
  196 ,1.277397037 ,   1.980420113 ,  0.018742827 ,       0.018198773
  197 ,2.675588608 ,   0.051945008 ,  0.02121862  ,       0.019429987
  198 ,2.191637754 ,   2.722232342 ,  0.014647679 ,       0.013981224
  199 ,1.01455462  ,   0.704721093 ,  0.02100392  ,       0.016218161
  200 ,1.526533365 ,   0.936244607 ,  0.018505268 ,       0.017807323
  201 ,0.047354512 ,   3.295847178 ,  0.018747778 ,       0.019389222
  202 ,0.096953057 ,   0.136661202 ,  0.019093262 ,       0.024888087
  203 ,1.142711759 ,   0.059807103 ,  0.022586839 ,       0.022181788
  204 ,1.944615841 ,   0.728695154 ,  0.020360883 ,       0.022331463
  205 ,0.214669436 ,   0.024159655 ,  0.024396238 ,       0.024026095
  206 ,0.985361934 ,   0.040415414 ,  0.016710196 ,       0.015788167
  207 ,2.346315384 ,   0.027996054 ,  0.018840927 ,       0.01914845
  208 ,2.75800705  ,   0.072156847 ,  0.021028181 ,       0.022224748
  209 ,0.895387411 ,   1.618715048 ,  0.02284104  ,       0.021792997
  210 ,0.047050968 ,   0.907612085 ,  0.012437703 ,       0.014870512
  211 ,2.492967129 ,   0.953349829 ,  0.018602833 ,       0.02041888
  212 ,0.075284444 ,   1.914544821 ,  0.0218491   ,       0.022150903
  213 ,3.066091776 ,   1.574476719 ,  0.018343907 ,       0.019991715
  214 ,0.718554735 ,   0.807149053 ,  0.021079908 ,       0.02187287
  215 ,1.844237804 ,   0.110850945 ,  0.017918212 ,       0.017703141
  216 ,0.042244911 ,   5.021254539 ,  0.020142179 ,       0.018909815
  217 ,0.023392079 ,   1.239597797 ,  0.018606518 ,       0.017354685
  218 ,1.692762613 ,   1.190303802 ,  0.016106964 ,       0.01762957
  219 ,0.023593854 ,   1.318421006 ,  0.023580746 ,       0.021066291
  220 ,0.056530643 ,   0.048007555 ,  0.016905142 ,       0.018977257
  221 ,0.044352703 ,   2.161985874 ,  0.021526123 ,       0.023031362
  222 ,1.09526515  ,   0.202460259 ,  0.015935347 ,       0.017631898
  223 ,0.027436126 ,   0.123417422 ,  0.020163157 ,       0.019587424
  224 ,0.101439215 ,   1.027171254 ,  0.017487261 ,       0.020537587
  225 ,1.436885595 ,   0.538184166 ,  0.019565478 ,       0.018141137
  226 ,2.791521311 ,   0.02417648  ,  0.016679538 ,       0.016582193
  227 ,0.030729307 ,   0.794029236 ,  0.016324936 ,       0.013690546
  228 ,2.385890007 ,   0.023184843 ,  0.018791031 ,       0.019596957
  229 ,0.068322375 ,   0.027239859 ,  0.022834873 ,       0.021650214
  230 ,0.272471428 ,   2.172494888 ,  0.0203753   ,       0.01776389
  231 ,0.027324166 ,   0.483725011 ,  0.017566135 ,       0.014174078
  232 ,0.067861021 ,   0.050788727 ,  0.020279507 ,       0.018961272
  233 ,2.585251808 ,   3.881295919 ,  0.021981557 ,       0.02131611
  234 ,0.054462615 ,   0.024675541 ,  0.02281365  ,       0.020928328
  235 ,0.028345099 ,   0.028038111 ,  0.018594626 ,       0.019059001
  236 ,3.805521011 ,   0.976117134 ,  0.018421633 ,       0.018153874
  237 ,3.544270515 ,   0.018547505 ,  0.019773114 ,       0.019869207
  238 ,0.148155034 ,   0.043117646 ,  0.015545809 ,       0.016766616
